Exam Date,Subject Code,Time Start Slot,Time End,Room,Number Of Student,invigilatorID
1,ENM401,1,3,HB/202R,22,anhltp2
1,ENM401,1,3,HB/204R,22,bichvtn9
1,ENM401,1,3,BE201,22,bontv
1,ENM401,1,3,BE202,22,chungtt10
1,ENM401,1,3,BE203,22,ducdm39
1,ENM401,1,3,BE204,22,haiptm7
1,ENM401,1,3,BE205,22,hanglt40
1,ENM401,1,3,BE208,22,hienntt
1,ENM401,1,3,BE209,22,huyenntt97
1,ENM401,1,3,BE210,22,linhndm3
1,ENM401,1,3,BE212,22,luult2
1,ENM401,1,3,BE213,22,ngadtt22
1,ENM401,1,3,BE214,22,phucnh67
1,ENM401,1,3,BE215,22,phuonglh17
1,ENM401,1,3,BE216,22,quangnm42
1,ENM401,1,3,BE217,22,quyph
1,ENM401,1,3,BE218,22,thangnt44
1,ENM401,1,3,BE219,22,thuongnt53
1,ENM401,1,3,BE220,22,thuydtp
1,ENM401,1,3,BE221,22,thuyntb3
1,ENM401,1,3,BE301,22,thuyntt135
1,ENM401,1,3,BE302,22,tranglh21
1,ENM401,1,3,BE303,22,trangntd10
1,ENM401,1,3,BE304,22,tritd
1,ENM401,1,3,BE305,22,tuanhm28
1,ENM401,1,3,BE306,22,vinhpt20
1,ENM401,1,3,BE307,1,vuda
1,VNC104,1,1,BE308,21,anhltp3
1,VNC104,1,1,BE309,21,dungttp
1,VNC104,1,1,BE310,21,huongct12
1,VNC104,1,1,BE311,21,khuongpd
1,VNC104,1,1,BE312,21,longdq
1,VNC104,1,1,BE313,21,ngocnta7
1,VNC104,1,1,BE314,18,ynt4
1,ESL101,2,2,BE308,15,hoadt31
1,DPL301m,3,3,BE308,21,annt79
1,DPL301m,3,3,BE309,21,khainn7
1,DPL301m,3,3,BE310,19,tampt25
1,IOT102,4,4,HB/202R,21,anhkd
1,IOT102,4,4,HB/204R,21,anhltp2
1,IOT102,4,4,BE201,21,anhttv20
1,IOT102,4,4,BE202,21,duongbt10
1,IOT102,4,4,BE203,21,duongnv44
1,IOT102,4,4,BE204,21,huyenntt97
1,IOT102,4,4,BE205,21,linhndm3
1,IOT102,4,4,BE208,21,linhntm
1,IOT102,4,4,BE209,21,thaodtt31
1,IOT102,4,4,BE210,21,thinhnt36
1,IOT102,4,4,BE212,21,thuongnt53
1,IOT102,4,4,BE213,21,thuydtp
1,IOT102,4,4,BE214,21,thuyvtp3
1,IOT102,4,4,BE215,21,tranglh21
1,IOT102,4,4,BE216,21,trangntd10
1,IOT102,4,4,BE217,18,ynt4
1,LAW102,4,4,BE218,22,dungttp
1,LAW102,4,4,BE219,22,hieudt46
1,LAW102,4,4,BE220,22,hunglh
1,LAW102,4,4,BE221,22,huongct12
1,LAW102,4,4,BE301,22,huyendtt4
1,LAW102,4,4,BE302,22,khainn7
1,LAW102,4,4,BE303,22,longdq
1,LAW102,4,4,BE304,22,luult2
1,LAW102,4,4,BE305,22,minhtt27
1,LAW102,4,4,BE306,22,phuongltl4
1,LAW102,4,4,BE307,22,quangnm42
1,LAW102,4,4,BE308,22,thangnt44
1,LAW102,4,4,BE309,22,thanhltk
1,LAW102,4,4,BE310,9,trungnt
1,CEA201,5,5,HB/202R,22,anhkd
1,CEA201,5,5,HB/204R,22,anhltp2
1,CEA201,5,5,BE201,22,anhltp3
1,CEA201,5,5,BE202,22,anhpv
1,CEA201,5,5,BE203,22,anhttv20
1,CEA201,5,5,BE204,22,annh21
1,CEA201,5,5,BE205,22,annt21
1,CEA201,5,5,BE208,22,annt79
1,CEA201,5,5,BE209,22,bichvtn9
1,CEA201,5,5,BE210,22,caupd
1,CEA201,5,5,BE212,22,chinhnt29
1,CEA201,5,5,BE213,22,chinhvv
1,CEA201,5,5,BE214,22,diepld
1,CEA201,5,5,BE215,22,doanhd
1,CEA201,5,5,BE216,22,ducdm39
1,CEA201,5,5,BE217,22,dunglq19
1,CEA201,5,5,BE218,22,dungnt3
1,CEA201,5,5,BE219,22,dungttp
1,CEA201,5,5,BE220,22,dungvt41
1,CEA201,5,5,BE221,22,duongbt10
1,CEA201,5,5,BE301,22,duongtt35
1,CEA201,5,5,BE302,22,haiptm7
1,CEA201,5,5,BE303,22,hanglt40
1,CEA201,5,5,BE304,22,hangtt59
1,CEA201,5,5,BE305,22,hanhvb
1,CEA201,5,5,BE306,22,hann13
1,CEA201,5,5,BE307,22,hantv
1,CEA201,5,5,BE308,22,hienda
1,CEA201,5,5,BE309,22,hienntt
1,CEA201,5,5,BE310,22,hieudt46
1,CEA201,5,5,BE311,22,hoadt31
1,CEA201,5,5,BE312,22,hunglh
1,CEA201,5,5,BE313,22,huongct12
1,CEA201,5,5,BE314,22,huongnt317
1,CEA201,5,5,BE315,22,huongtg
1,CEA201,5,5,BE316,22,huyendtt4
1,CEA201,5,5,BE317,22,huyenpk
1,CEA201,5,5,BE318,22,huyvv10
1,CEA201,5,5,BE319,22,khainn7
1,CEA201,5,5,BE320,22,khanhh
1,CEA201,5,5,BE321,22,linhntm
1,CEA201,5,5,BE401,22,linhpp2
1,CEA201,5,5,BE402,22,longdq
1,CEA201,5,5,BE403,22,longndd
1,CEA201,5,5,BE404,22,luult2
1,CEA201,5,5,BE405,22,maitt
1,CEA201,5,5,BE406,22,minhnt79
1,CEA201,5,5,BE407,22,minhpq15
1,CEA201,5,5,BE408,22,minhtt27
1,CEA201,5,5,BE409,22,ngadtt22
1,CEA201,5,5,BE410,22,ngocll2
1,CEA201,5,5,BE411,22,ngocnta7
1,CEA201,5,5,BE412,22,phucnh67
1,CEA201,5,5,BE413,22,phuonglh17
1,CEA201,5,5,BE414,22,phuongltl4
1,CEA201,5,5,BE415,22,phuongvtm11
1,CEA201,5,5,BE416,22,quangnm42
1,CEA201,5,5,BE417,22,quyph
1,CEA201,5,5,BE418,22,tamnt
1,CEA201,5,5,BE419,22,tampt25
1,CEA201,5,5,BE420,22,thangnt44
1,CEA201,5,5,BE421,22,thangpd10
1,CEA201,5,5,AL201,22,thanhltk
1,CEA201,5,5,AL202,22,thaodtt31
1,CEA201,5,5,AL203,22,thiennv
1,CEA201,5,5,AL204,22,thinhnt36
1,CEA201,5,5,AL205,22,thomlth2
1,CEA201,5,5,AL208,22,thuydtp
1,CEA201,5,5,AL209,22,thuyntb3
1,CEA201,5,5,AL210,22,thuyntt135
1,CEA201,5,5,AL212,22,thuyntt35
1,CEA201,5,5,AL213,22,thuyvtp3
1,CEA201,5,5,AL214,22,tienhm7
1,CEA201,5,5,AL215,22,trangdm3
1,CEA201,5,5,AL216,22,tranglh21
1,CEA201,5,5,AL217,22,trangntd10
1,CEA201,5,5,AL218,22,trangntq41
1,CEA201,5,5,AL219,22,trinhntt37
1,CEA201,5,5,AL220,22,tritd
1,CEA201,5,5,AL301,22,trungnt
1,CEA201,5,5,AL302,22,tuanhm28
1,CEA201,5,5,AL303,22,tuanlt33
1,CEA201,5,5,AL304,22,vanbta
1,CEA201,5,5,AL305,22,vinhpt20
1,CEA201,5,5,AL306,11,vuda
1,AIL302m,6,6,HB/202R,20,phucnh67
1,AIL302m,6,6,HB/204R,20,thanhnp19
1,AIL302m,6,6,BE201,20,thuyvtp3
1,CSI105,6,6,BE202,21,chinhnt29
1,CSI105,6,6,BE203,21,dungttp
1,CSI105,6,6,BE204,21,hoadt31
1,CSI105,6,6,BE205,21,khanhh
1,CSI105,6,6,BE208,21,linhndm3
1,CSI105,6,6,BE209,21,minhtt27
1,CSI105,6,6,BE210,21,phuongvtm11
1,CSI105,6,6,BE212,21,tamnt
1,DBW301,6,6,BE213,21,dunglq19
1,DBW301,6,6,BE214,21,linhpp2
1,DBW301,6,6,BE215,21,longdt12
1,DBW301,6,6,BE216,20,ynt4
1,FRS301,6,6,BE217,13,hanglt40
1,FRS301,6,6,BE218,12,thomlth2
1,IBC201,6,6,BE219,19,bichvtn9
1,IBC201,6,6,BE220,19,doanhd
1,IBC201,6,6,BE221,19,dungvt41
1,IBC201,6,6,BE301,19,phuongltl4
1,IBC201,6,6,BE302,16,tampt25
1,ISM302,6,6,BE303,19,longdq
1,MKT304,6,6,BE304,22,anhptm16
1,MKT304,6,6,BE305,22,hangtt59
1,MKT304,6,6,BE306,22,hanhvb
1,MKT304,6,6,BE307,22,hantv
1,MKT304,6,6,BE308,22,maitt
1,MKT304,6,6,BE309,22,minhpq15
1,MKT304,6,6,BE310,22,ngocll2
1,MKT304,6,6,BE311,22,trinhntt37
